accuracy,bag_prop,train_prop,correction,dataset
0.864705882353,0.9,0.2,True,income
0.797794117647,0.9,0.2,False,income
0.937254901961,0.9,0.3,True,income
0.805882352941,0.9,0.3,False,income
0.932352941176,0.9,0.4,True,income
0.814705882353,0.9,0.4,False,income
0.894117647059,0.9,0.5,True,income
0.831764705882,0.9,0.5,False,income
0.943137254902,0.9,0.6,True,income
0.836764705882,0.9,0.6,False,income
0.933613445378,0.9,0.7,True,income
0.841176470588,0.9,0.7,False,income
0.949264705882,0.9,0.8,True,income
0.85,0.9,0.8,False,income
0.925490196078,0.9,0.9,True,income
0.805882352941,0.9,0.9,False,income
